No.,Symbol,Company Name,Market Cap
491,FLNC,"Fluence Energy, Inc.",3616125705
492,BL,"BlackLine, Inc.",3789130902
493,OPCH,"Option Care Health, Inc.",3778869105
494,CVCO,"Cavco Industries, Inc.",3779166954
495,WEN,The Wendy's Company,3798651575
496,BRZE,"Braze, Inc.",3719703702
497,EBC,"Eastern Bankshares, Inc.",4013124785
498,CAR,"Avis Budget Group, Inc.",3827010272
499,SMPL,The Simply Good Foods Company,3755318340
500,GH,"Guardant Health, Inc.",3817849500
